编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,化合物分类,SMILES,InChI,InChIKey,药材种类
YJ-125,/,Curcumenolactone B,/,248.1412,C15H20O3,,,萜类,C[C@]1([C@@H]2CCC(C)=O)[C@]2([H])CC([C@@]3([H])C1)=C(C)C(O3)=O,"InChI=1S/C15H20O3/c1-8(16)4-5-11-12-6-10-9(2)14(17)18-13(10)7-15(11,12)3/h11-13H,4-7H2,1-3H3/t11-,12-,13-,15+/m1/s1",LWEBVMKVDYHHRS-BHPKHCPMSA-N,郁金
YJ-126,/,Curcumenolactone C,/,264.1362,C15H20O4,,,萜类,C[C@]1([C@@H]2CCC(C)=O)[C@]2([H])CC([C@@]3(O)C1)=C(C)C(O3)=O,"InChI=1S/C15H20O4/c1-8(16)4-5-10-12-6-11-9(2)13(17)19-15(11,18)7-14(10,12)3/h10,12,18H,4-7H2,1-3H3/t10-,12-,14+,15-/m1/s1",JZIQIHGNLNKQKF-WAZAZEMKSA-N,郁金
YJ-127,Β-桉叶醇,β-Eudesmol,51317-08-9,222.1984,C15H26O,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(=O)O)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",BOPIMTNSYWYZOC-VNHYZAJKSA-N,郁金
YJ-128,Β-瑟林烯,β-Selinene,17066-67-0,204.1878,C15H24,,,萜类,CC@H1CC/C=C(\CC@@2(C(=C(C(=O)O2)C)CC1=O)C)/C,"InChI=1S/C15H24/c1-11(2)13-7-9-15(4)8-5-6-12(3)14(15)10-13/h13-14H,1,3,5-10H2,2,4H3/t13-,14+,15-/m1/s1",YOVSPTNQHMDJAG-QLFBSQMISA-N?,郁金
YJ-129,/,β-Dictyopterol,/,220.1827,C15H24O,,,萜类,C[C@@]12[C@](C[C@H](C(C)=C)CC2)([H])C(CC[C@H]1O)=C,"InChI=1S/C15H24O/c1-10(2)12-7-8-15(4)13(9-12)11(3)5-6-14(15)16/h12-14,16H,1,3,5-9H2,2,4H3/t12-,13+,14-,15-/m1/s1",CORHHSPHLRPKPM-LXTVHRRPSA-N,郁金
YJ-130,/,α-Selinene,473-13-2,204.1878,C15H24,,,萜类,CC(C)=C1C2C(C(C)C)C(C)(C)C1C(C)C2,"InChI=1S/C10H16/c1-7(2)9-5-8(3)4-6-10(9,3)4/h5H,6H2,1-4H3/t8-,9+,10+/m1/s1",,郁金
YJ-131,/,"1β,4α-dihydroxy-5α,8β(H)-eudesm-7(11)Z-en-12,8-olide",/,266.1518,C15H22O4,,,萜类,C[C@@]12[C@](C[C@H](C(C)=C)CC2)([H])C(CC[C@H]1O)=C,"InChI=1S/C15H24O/c1-10(2)12-7-8-15(4)13(9-12)11(3)5-6-14(15)16/h12-14,16H,1,3,5-9H2,2,4H3/t12-,13+,14-,15-/m1/s1",CORHHSPHLRPKPM-LXTVHRRPSA-N,郁金
YJ-132,/,Curcolide,/,282.1467,C15H22O5,,,萜类,O[C@]1(C)CC[C@](O)([H])[C@@]2(C)[C@@]1([H])CC([C@]3(O)C2)=C(C)C(O3)=O,"InChI=1S/C15H22O5/c1-8-9-6-10-13(2,7-15(9,19)20-12(8)17)11(16)4-5-14(10,3)18/h10-11,16,18-19H,4-7H2,1-3H3/t10-,11-,13-,14-,15+/m1/s1",BWOFLNFAFOQHRS-BBIZWXPBSA-N,郁金
YJ-133,/,Curcolonol,217817-09-9,264.1362,C15H20O4,,,萜类,217817-09-9,CC1CCC2C13CC(=C(C)C)C(O3)(C=C2C)O,"InChI=1S/C15H22O2/c1-9(2)13-8-14-11(4)5-6-12(14)10(3)7-15(13,16)17-14/h7,11-12,16H,5-6,8H2,1-4H3/t11-,12+,14+,15-/m1/s1",郁金
YJ-134,姜黄醇酮,Curcolone,17015-43-9,245.1256,C15H18O3,,,萜类,O=C1C2=C(C)CCC@H[C@@]2(C)CC3=C1C(C)=CO3,"InChI=1S/C15H18O3/c1-8-4-5-11(16)15(3)6-10-12(9(2)7-18-10)14(17)13(8)15/h7,11,16H,4-6H2,1-3H3/t11-,15+/m0/s1",PFIXJSCFTAVWBW-XHDPSFHLSA-N?,郁金
YJ-135,/,Curcodione,/,262.1205,C15H18O4,,,萜类,O[C@]([C@]1([H])[C@@]2(C)CC3=C(C(C)=CO3)C1=O)(C)CCC2=O,"InChI=1S/C15H18O4/c1-8-7-19-9-6-14(2)10(16)4-5-15(3,18)13(14)12(17)11(8)9/h7,13,18H,4-6H2,1-3H3/t13-,14-,15+/m0/s1",JSTVAWBAYPLCTK-SOUVJXGZSA-N,郁金
YJ-136,/,Neolitamnoe A,/,264.1362,C15H20O4,,,萜类,O[C@@H](CC1)[C@@]2(C)C(CC([C@]3(O)C2)=C(C)C(O3)=O)C1=C,"InChI=1S/C15H20O4/c1-8-4-5-12(16)14(3)7-15(18)11(6-10(8)14)9(2)13(17)19-15/h10,12,16,18H,1,4-7H2,2-3H3/t10?,12-,14+,15-/m0/s1",WSGUEAHXLYQKIH-YYWWCJFBSA-N,郁金
YJ-137,/,Curlone,/,220.1827,C15H24O,,,萜类,C=C(CC1)CCC1([H])[C@@H](C)CC(/C=C(C)\C)=O,"InChI=1S/C15H24O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h9,13-14H,3,5-8,10H2,1-2,4H3/t13-/m0/s1",OHSXQHOLJBZQNF-ZDUSSCGKSA-N,郁金
