编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
JLX-068,,Murrayatin /2-Hydroxy-1-[(7-methoxy-2-oxo-2H-chromen-8-yl)methyl]-2-methylpropyl 3-methylbutanoate ,,"	
362.4","	
C20H26O6",,香豆素类,CC(C)CC(OC(CC1=C(OC)C=CC2=C1OC(C=C2)=O)C(C)(O)C)=O,"InChI=1S/C20H26O6/c1-12(2)10-18(22)25-16(20(3,4)23)11-14-15(24-5)8-6-13-7-9-17(21)26-19(13)14/h6-9,12,16,23H,10-11H2,1-5H3",XAKVHDMPRFGESG-UHFFFAOYSA-N,九里香
JLX-069,,8-(2'-oxo-3'-methyl)butoxy-7-methoxycoumarin,,276.1,C15H16O5,,香豆素类,O=C1OC2=C(C=CC(OC)=C2OCC(C(C)C)=O)C=C1,"InChI=1S/C15H16O5/c1-9(2)11(16)8-19-15-12(18-3)6-4-10-5-7-13(17)20-14(10)15/h4-7,9H,8H2,1-3H3",WMIOLCAGBNQVFI-UHFFFAOYSA-N,九里香
JLX-070,,Meranzin hydrate,5875-49-0,"	
278.30","	
C15H18O5",,香豆素类,O=C1C=CC2=CC=C(OC)C(C[C@H](O)C(C)(O)C)=C2O1,"InChI=1S/C15H18O5/c1-15(2,18)12(16)8-10-11(19-3)6-4-9-5-7-13(17)20-14(9)10/h4-7,12,16,18H,8H2,1-3H3/t12-/m0/s1",KGGUASRIGLRPAX-LBPRGKRZSA-N,九里香
JLX-071,月橘烯碱,Yuehchukene,96624-37-2,"	
366.5","	
C26H26N2",,生物碱类,CC1=CC2C(C(C)(C)C1)[C@](C3=CNC4=C3C=CC=C4)([H])C5=C2C(C=CC=C6)=C6N5,"InChI=1S/C26H26N2/c1-15-12-18-22-17-9-5-7-11-21(17)28-25(22)23(24(18)26(2,3)13-15)19-14-27-20-10-6-4-8-16(19)20/h4-12,14,18,23-24,27-28H,13H2,1-3H3/t18?,23-,24?/m1/s1",CZJCZWZKBWLSQX-WHKWTHTOSA-N,九里香
JLX-072,,methyl 2-methoxy-5-hydroxycinnamate,,208.07,C11H12O4,,酚酸类,O=C(OC)/C=C/C1=CC(O)=CC=C1OC,"InChI=1S/C11H12O4/c1-14-10-5-4-9(12)7-8(10)3-6-11(13)15-2/h3-7,12H,1-2H3/b6-3+",YYCNSXSWKOQWFN-ZZXKWVIFSA-N,九里香
JLX-073,柯氏九里香酚碱,"3,11-Dihydro-3,3,5-trimethylpyrano[3,2-a]carbazol-8-ol",28200-63-7,"	
279.3","	
C18H17NO2",,生物碱类,OC1=CC2=C(NC3=C2C=C(C)C4=C3C=CC(C)(C)O4)C=C1,"InChI=1S/C18H17NO2/c1-10-8-14-13-9-11(20)4-5-15(13)19-16(14)12-6-7-18(2,3)21-17(10)12/h4-9,19-20H,1-3H3",VISKLVOLGCYFCW-UHFFFAOYSA-N,九里香
JLX-074,九里香碱,Murrayanine,723-97-7,"	
225.24 ","	
C14H11NO2",,生物碱类,O=CC1=CC2=C(C(OC)=C1)NC3=C2C=CC=C3,"InChI=1S/C14H11NO2/c1-17-13-7-9(8-16)6-11-10-4-2-3-5-12(10)15-14(11)13/h2-8,15H,1H3",FWNZQNAJETXQPP-UHFFFAOYSA-N,九里香
JLX-075,,Isomahanine ,144606-95-1,"	
347.4","	
C23H25NO2",,生物碱类,OC1=CC2=C(C=C1C)C3=C(C(C=CC(CC/C=C(C)/C)(C)O4)=C4C=C3)N2,"InChI=1S/C23H25NO2/c1-14(2)6-5-10-23(4)11-9-17-21(26-23)8-7-16-18-12-15(3)20(25)13-19(18)24-22(16)17/h6-9,11-13,24-25H,5,10H2,1-4H3",WWXYBSVWYPHUPZ-UHFFFAOYSA-N,九里香
JLX-076,咔巴唑生物碱,1-Methoxy-3-methyl-9H-carbazole,4532-33-6,211.26,"	
C14H13NO",,生物碱类,CC1=CC2=C(C(OC)=C1)NC3=C2C=CC=C3,"InChI=1S/C14H13NO/c1-9-7-11-10-5-3-4-6-12(10)15-14(11)13(8-9)16-2/h3-8,15H,1-2H3",HDETUOZJFUNSKG-UHFFFAOYSA-N,九里香
JLX-077,去甲齿叶黄皮素,Nordentatin,17820-07-4,"	
312.4","	
C19H20O4",,香豆素类,CC1(C)C=CC2=C(C3=C(OC(C=C3)=O)C(C(C)(C=C)C)=C2O)O1,"InChI=1S/C19H20O4/c1-6-18(2,3)14-15(21)11-9-10-19(4,5)23-16(11)12-7-8-13(20)22-17(12)14/h6-10,21H,1H2,2-5H3",FREXEHTVBRSRGJ-UHFFFAOYSA-N,九里香
