编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,,,,
CX-051,,Chuanxiongoside A,C18H28O9,388.4130 ,2197167-42-1,,其他,CCCC[C@H]1C2=C(C(O1)=O)[C@H]([C@H](CC2)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)O,"InChI=1S/C18H28O9/c1-2-3-4-9-8-5-6-10(13(20)12(8)17(24)25-9)26-18-16(23)15(22)14(21)11(7-19)27-18/h9-11,13-16,18-23H,2-7H2,1H3/t9-,10-,11+,13-,14+,15-,16+,18+/m0/s1",MFDNICWIWGMCSB-SJJFVWNQSA-N,川芎
CX-052,,Chuanxiongoside B,C23H36O12,504.5290 ,2197167-43-2,,其他,O=C1C2=CCC[C@H]([C@]2([H])[C@H](CCCC)O1)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO[C@H]4[C@@H]([C@](O)(CO4)CO)O,"InChI=1S/C23H36O12/c1-2-3-6-12-15-11(20(29)33-12)5-4-7-13(15)34-21-18(27)17(26)16(25)14(35-21)8-31-22-19(28)23(30,9-24)10-32-22/h5,12-19,21-22,24-28,30H,2-4,6-10H2,1H3/t12-,13+,14+,15-,16+,17-,18+,19-,21+,22+,23+/m0/s1",GHEHPZOLVPNINK-JUTIOQHSSA-N,川芎
CX-053,,Ansaspirolide,C24H26O4,378.4680 ,879496-44-3,,挥发油,CCC[C@H]1[C@]2(C3=CC=CC=C3C(O2)=O)[C@@]45C(C(O/C5=C\CCC)=O)=C[C@]1([H])CC4,"InChI=1S/C24H26O4/c1-3-5-11-20-23-13-12-15(14-19(23)22(26)27-20)17(8-4-2)24(23)18-10-7-6-9-16(18)21(25)28-24/h6-7,9-11,14-15,17H,3-5,8,12-13H2,1-2H3/b20-11-/t15-,17+,23+,24-/m0/s1",KKXDPTDDMLHVAK-SSYWTAOGSA-N,川芎
CX-054,东当归内酯B,Tokinolide B,C24H28O4,380.4840 ,112966-16-2,,萜类,CCC[C@H]1[C@]2(C3=CC=CC=C3C(O2)=O)[C@@]45C(C(O/C5=C\CCC)=O)=C[C@]1([H])CC4,"InChI=1S/C24H26O4/c1-3-5-11-20-23-13-12-15(14-19(23)22(26)27-20)17(8-4-2)24(23)18-10-7-6-9-16(18)21(25)28-24/h6-7,9-11,14-15,17H,3-5,8,12-13H2,1-2H3/b20-11-/t15-,17+,23+,24-/m0/s1",KKXDPTDDMLHVAK-SSYWTAOGSA-N,川芎
CX-055,,Chuanxiongdiolide B,C24H32O5,400.5150 ,1617498-39-1,,其他,O=C1[C@]2([C@]3([H])C4=C(CC[C@@H]3O)[C@H](OC4=O)CCCC)C(CCC=C2)=C(O1)CCCC,"InChI=1S/C24H32O5/c1-3-5-10-18-15-12-13-17(25)21(20(15)22(26)28-18)24-14-8-7-9-16(24)19(11-6-4-2)29-23(24)27/h8,14,17-18,21,25H,3-7,9-13H2,1-2H3/t17-,18+,21-,24-/m0/s1",,川芎
CX-056,,Chuanxiongdiolide R3,C25H30O5,410.5100 ,2252390-66-0,,其他,CCCCC([C@]12[C@@]3([C@@H]([C@](CC2)([H])C=C1C(OC)=O)CCC)C4=CC=CC=C4C(O3)=O)=O,"InChI=1S/C25H30O5/c1-4-6-12-21(26)24-14-13-16(15-20(24)23(28)29-3)18(9-5-2)25(24)19-11-8-7-10-17(19)22(27)30-25/h7-8,10-11,15-16,18H,4-6,9,12-14H2,1-3H3/t16-,18+,24+,25+/m0/s1",UEOQSTYKYFTKDQ-BJRXGZSKSA-N,川芎
CX-057,,"(+)-6-3′a,7-6′-Isowallichilide",C25H32O5,412.5620 ,2412597-45-4,,其他,CCCCC([C@@]12[C@]3([H])[C@@]([C@@](CC2)([H])C=C1C(OC)=O)([H])C4=C(/C(OC4=O)=C/CCC)CC3)=O,"InChI=1S/C25H32O5/c1-4-6-8-19-16-10-11-17-21(22(16)24(28)30-19)15-12-13-25(17,20(26)9-7-5-2)18(14-15)23(27)29-3/h8,14-15,17,21H,4-7,9-13H2,1-3H3/b19-8-/t15-,17+,21+,25+/m1/s1",CDSAAMAQEXIOJP-XPBJZXFGSA-N,川芎
CX-058,,"(-)-6-3′a,7-6′-Isowallichilide",C25H32O5,412.5620 ,2412597-46-5,,其他,CCCCC([C@]12[C@@]3([H])[C@]([C@](CC2)([H])C=C1C(OC)=O)([H])C4=C(/C(OC4=O)=C/CCC)CC3)=O,"InChI=1S/C25H32O5/c1-4-6-8-19-16-10-11-17-21(22(16)24(28)30-19)15-12-13-25(17,20(26)9-7-5-2)18(14-15)23(27)29-3/h8,14-15,17,21H,4-7,9-13H2,1-3H3/b19-8-/t15-,17+,21+,25+/m0/s1",CDSAAMAQEXIOJP-CDVLWYAESA-N,川芎
CX-059,,Tokiaerialide,C24H28O4,380.4840 ,2064312-35-0,,其他,O=C1[C@]23[C@@]4(C5=C(C=CCC5)C(O4)=O)[C@@H]([C@]2(CCC=C3)/C(O1)=C/CCC)CCC,"InChI=1S/C24H28O4/c1-3-5-13-19-22-14-8-9-15-23(22,21(26)27-19)24(18(22)10-4-2)17-12-7-6-11-16(17)20(25)28-24/h6,9,11,13,15,18H,3-5,7-8,10,12,14H2,1-2H3/b19-13-/t18-,22-,23+,24-/m1/s1",GDHPOKXLBIUVCW-HLZAMITDSA-N,川芎
CX-060, 烟酸,Nicotinic acid,C6H5NO2,123.1110 ,59-67-6,,生物碱,O=C(C1=CC=CN=C1)O,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,川芎
CX-061,肉桂酸,Cinnamic acid,C9H8O2,148.1610 ,621-82-9,,挥发油,O=C(/C=C/C1=CC=CC=C1)O,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+",WBYWAXJHAXSJNI-VOTSOKGWSA-N,川芎
CX-062,水杨酸,Salicylic acid,C7H6O3,138.1220 ,69-72-7,,酚酸,O=C(C1=C(O)C=CC=C1)O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N,川芎
CX-063,邻苯二甲酸,phthalic acid,C8H6O4,166.1320 ,88-99-3,,酚酸,O=C(C1=C(C(O)=O)C=CC=C1)O,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)",XNGIFLGASWRNHJ-UHFFFAOYSA-N,川芎
CX-064,对羟基苯甲酸,p-hydroxybenzoic acid,C7H6O3,138.1220 ,99-96-7,,酚酸,O=C(C1=CC=C(C=C1)O)O,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,川芎
CX-065,阿魏酸,ferulic acid,C10H10O4,194.1860 ,1135-24-6,,苯丙素,O=C(/C=C/C1=CC=C(C(OC)=C1)O)O,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,川芎
